phone	mean	var
uR	198	7396
iR	260	5041
oR	237	6724
aR	237	6724
eR	281	7056
ER	250	5625
oI	237	6724
eI	247	6724
aI	247	5476
aU	267	5929
oU	228	7056
a:	237	6084
i:	202	5184
o:	260	5041
u:	248	6889
tS	228	5776
dZ	178	4761
a	197	4225
A	131	1764
E	197	4225
@	153	6241
e	135	5776
i	123	2209
o	197	2916
u	142	1681
T	172	2601
D	53	1089
r	70	729
S	188	1444
Z	128	676
b	86	676
d	105	961
f	148	1444
g	95	784
h	74	289
j	86	1156
k	145	2304
l	97	1521
m	97	1296
n	96	1024
N	105	729
p	142	2809
s	163	1764
t	151	2500
v	123	2116
w	79	676
z	150	1089
