phone	mean	var
aNI	143	324
oNI	120	100
aNU	140	169
ANU	96	676
ehI	134	169
ohI	133	144
ehU	143	225
ohU	138	361
iN	128	256
eN	134	225
aN	134	225
oN	137	324
uN	128	100
IN	89	625
EN	82	676
AN	93	1156
ON	88	361
UN	98	256
eI	126	169
aI	135	144
oI	131	196
uI	122	169
iU	145	529
eU	134	289
aU	145	225
oU	133	196
IU	61	256
IO	61	256
UU	63	324
UO	63	324
II	49	196
UI	106	196
IE	49	196
UE	106	196
IA	80	289
UA	70	256
eh	113	289
oh	119	324
sh	104	361
zh	65	289
nh	84	729
lh	72	576
i	87	361
e	110	361
a	132	2025
o	111	400
u	103	196
I	55	196
E	51	169
A	59	225
O	51	196
U	47	225
p	80	256
t	81	400
k	80	484
b	59	324
d	58	400
g	52	400
f	89	784
s	96	576
v	57	361
z	64	625
S	74	961
m	61	169
n	51	289
r	78	576
R	30	100
l	47	169
