phone	mean	var
aNj	143	324
oNj	120	100
aNw	140	169
ANw	96	676
iN	128	256
eN	134	225
aN	134	225
oN	137	324
uN	128	100
IN	89	625
&N	82	676
AN	93	1156
@N	88	361
UN	98	256
ej	126	169
Ej	134	169
aj	135	144
Oj	133	144
oj	131	196
uj	122	169
Ij	49	196
Uj	106	196
iw	145	529
ew	134	289
Ew	143	225
aw	145	225
Ow	138	361
ow	133	196
Iw	61	256
Uw	63	324
I@	61	256
U@	63	324
I&	49	196
U&	106	196
I6	80	289
U6	70	256
i	87	361
e	110	361
E	113	289
a	132	2025
O	119	324
o	111	400
u	103	196
I	55	196
&	51	169
A	59	225
@	51	196
U	47	225
p	80	256
t	81	400
k	80	484
b	59	324
d	58	400
g	52	400
f	89	784
s	96	576
S	104	361
v	57	361
z	64	625
Z	65	289
5	74	961
m	61	169
n	51	289
J	84	729
r	78	576
4	30	100
l	47	169
L	72	576
R	30	100
T	81	400
D	59	324
